"STATISTIC","Statistic","TLIST(A1)","Year","C02199V02655","Sex","C03111V03761","Type of Driving Licence","C03424V04122","Licensing Authority","UNIT","VALUE"
"ROA25","Current Driving Licences","2013","2013","1","Male","01","Learner permit","26","Monaghan","Number","1254"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","-","All licensing authorities","Number","1295288"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","01","Carlow","Number","17662"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","02","Dublin","Number","315531"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","03","Kildare","Number","58635"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","04","Kilkenny","Number","26177"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","05","Laois","Number","20848"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","06","Longford","Number","11464"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","07","Louth","Number","32782"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","08","Meath","Number","51155"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","09","Offaly","Number","21950"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","10","Westmeath","Number","24695"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","11","Wexford","Number","41294"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","12","Wicklow","Number","39243"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","13","Clare","Number","34994"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","14","Cork","Number","153036"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","15","Kerry","Number","45171"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","16","Limerick","Number","55033"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","17","Tipperary","Number","48029"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","18","Waterford","Number","33195"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","19","Galway","Number","73013"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","20","Leitrim","Number","10031"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","21","Mayo","Number","40161"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","22","Roscommon","Number","19950"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","23","Sligo","Number","18645"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","24","Cavan","Number","21448"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","25","Donegal","Number","48534"
"ROA25","Current Driving Licences","2013","2013","1","Male","05","Full","26","Monaghan","Number","20006"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","-","All licensing authorities","Number","117470"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","01","Carlow","Number","1638"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","02","Dublin","Number","34346"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","03","Kildare","Number","5539"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","04","Kilkenny","Number","2427"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","05","Laois","Number","2132"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","06","Longford","Number","1070"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","07","Louth","Number","3052"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","08","Meath","Number","4461"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","09","Offaly","Number","1944"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","10","Westmeath","Number","2140"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","11","Wexford","Number","3651"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","12","Wicklow","Number","3389"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","13","Clare","Number","2585"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","14","Cork","Number","12062"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","15","Kerry","Number","3209"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","16","Limerick","Number","4247"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","17","Tipperary","Number","4205"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","18","Waterford","Number","2713"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","19","Galway","Number","5670"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","20","Leitrim","Number","695"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","21","Mayo","Number","2802"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","22","Roscommon","Number","1372"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","23","Sligo","Number","1305"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","24","Cavan","Number","1912"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","25","Donegal","Number","3013"
"ROA25","Current Driving Licences","2013","2013","2","Female","01","Learner permit","26","Monaghan","Number","1328"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","-","All licensing authorities","Number","1119094"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","01","Carlow","Number","14880"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","02","Dublin","Number","270304"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","03","Kildare","Number","51569"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","04","Kilkenny","Number","24367"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","05","Laois","Number","17672"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","06","Longford","Number","9100"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","07","Louth","Number","27641"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","08","Meath","Number","46037"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","09","Offaly","Number","17881"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","10","Westmeath","Number","21192"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","11","Wexford","Number","38977"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","12","Wicklow","Number","35275"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","13","Clare","Number","32559"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","14","Cork","Number","131652"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","15","Kerry","Number","37922"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","16","Limerick","Number","47857"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","17","Tipperary","Number","41010"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","18","Waterford","Number","28513"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","19","Galway","Number","65132"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","20","Leitrim","Number","8255"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","21","Mayo","Number","33961"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","22","Roscommon","Number","16619"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","23","Sligo","Number","18719"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","24","Cavan","Number","17137"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","25","Donegal","Number","39971"
"ROA25","Current Driving Licences","2013","2013","2","Female","05","Full","26","Monaghan","Number","14824"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","-","All licensing authorities","Number","235878"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","01","Carlow","Number","3619"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","02","Dublin","Number","68603"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","03","Kildare","Number","11926"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","04","Kilkenny","Number","5145"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","05","Laois","Number","4260"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","06","Longford","Number","2138"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","07","Louth","Number","6006"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","08","Meath","Number","9106"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","09","Offaly","Number","4143"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","10","Westmeath","Number","4568"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","11","Wexford","Number","8073"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","12","Wicklow","Number","7544"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","13","Clare","Number","5556"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","14","Cork","Number","25839"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","15","Kerry","Number","6863"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","16","Limerick","Number","8976"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","17","Tipperary","Number","9069"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","18","Waterford","Number","5888"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","19","Galway","Number","11532"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","20","Leitrim","Number","1520"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","21","Mayo","Number","6191"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","22","Roscommon","Number","2982"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","23","Sligo","Number","2711"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","24","Cavan","Number","4035"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","25","Donegal","Number","6825"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","01","Learner permit","26","Monaghan","Number","2760"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","-","All licensing authorities","Number","2474786"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","01","Carlow","Number","33032"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","02","Dublin","Number","604585"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","03","Kildare","Number","114765"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","04","Kilkenny","Number","52406"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","05","Laois","Number","39983"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","06","Longford","Number","21445"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","07","Louth","Number","62729"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","08","Meath","Number","101765"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","09","Offaly","Number","41827"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","10","Westmeath","Number","47901"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","11","Wexford","Number","83555"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","12","Wicklow","Number","77784"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","13","Clare","Number","70126"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","14","Cork","Number","293550"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","15","Kerry","Number","86017"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","16","Limerick","Number","106362"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","17","Tipperary","Number","91387"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","18","Waterford","Number","63854"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","19","Galway","Number","142499"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","20","Leitrim","Number","19098"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","21","Mayo","Number","76678"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","22","Roscommon","Number","38038"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","23","Sligo","Number","38531"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","24","Cavan","Number","40299"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","25","Donegal","Number","90568"
"ROA25","Current Driving Licences","2014","2014","-","Both sexes","05","Full","26","Monaghan","Number","36002"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","-","All licensing authorities","Number","116143"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","01","Carlow","Number","1800"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","02","Dublin","Number","32331"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","03","Kildare","Number","5709"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","04","Kilkenny","Number","2589"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","05","Laois","Number","2061"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","06","Longford","Number","1025"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","07","Louth","Number","2795"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","08","Meath","Number","4312"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","09","Offaly","Number","2092"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","10","Westmeath","Number","2283"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","11","Wexford","Number","4061"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","12","Wicklow","Number","3719"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","13","Clare","Number","2738"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","14","Cork","Number","13275"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","15","Kerry","Number","3476"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","16","Limerick","Number","4594"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","17","Tipperary","Number","4573"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","18","Waterford","Number","2943"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","19","Galway","Number","5814"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","20","Leitrim","Number","775"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","21","Mayo","Number","3185"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","22","Roscommon","Number","1517"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","23","Sligo","Number","1390"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","24","Cavan","Number","2032"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","25","Donegal","Number","3642"
"ROA25","Current Driving Licences","2014","2014","1","Male","01","Learner permit","26","Monaghan","Number","1412"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","-","All licensing authorities","Number","1324507"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","01","Carlow","Number","17916"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","02","Dublin","Number","324556"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","03","Kildare","Number","60970"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","04","Kilkenny","Number","27223"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","05","Laois","Number","21612"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","06","Longford","Number","11957"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","07","Louth","Number","34003"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","08","Meath","Number","53534"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","09","Offaly","Number","22975"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","10","Westmeath","Number","25841"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","11","Wexford","Number","43081"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","12","Wicklow","Number","40954"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","13","Clare","Number","36349"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","14","Cork","Number","157334"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","15","Kerry","Number","46695"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","16","Limerick","Number","56888"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","17","Tipperary","Number","49231"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","18","Waterford","Number","34245"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","19","Galway","Number","75078"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","20","Leitrim","Number","10446"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","21","Mayo","Number","41440"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","22","Roscommon","Number","20776"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","23","Sligo","Number","19175"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","24","Cavan","Number","22313"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","25","Donegal","Number","49416"
"ROA25","Current Driving Licences","2014","2014","1","Male","05","Full","26","Monaghan","Number","20499"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","-","All licensing authorities","Number","119735"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","01","Carlow","Number","1819"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","02","Dublin","Number","36272"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","03","Kildare","Number","6217"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","04","Kilkenny","Number","2556"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","05","Laois","Number","2199"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","06","Longford","Number","1113"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","07","Louth","Number","3211"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","08","Meath","Number","4794"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","09","Offaly","Number","2051"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","10","Westmeath","Number","2285"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","11","Wexford","Number","4012"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","12","Wicklow","Number","3825"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","13","Clare","Number","2818"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","14","Cork","Number","12564"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","15","Kerry","Number","3387"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","16","Limerick","Number","4382"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","17","Tipperary","Number","4496"
"ROA25","Current Driving Licences","2014","2014","2","Female","01","Learner permit","18","Waterford","Number","2945"
